iteration,price,units_sold_day,revenue_day,units_sold_cum,revenue_cum
1,0.8149249066030035,0,0.0,0,0.0
2,0.8189429843050565,0,0.0,0,0.0
3,0.8130142984612808,0,0.0,0,0.0
4,0.813013680992009,0,0.0,0,0.0
5,0.8119877314445799,0,0.0,0,0.0
6,0.8120012866482745,0,0.0,0,0.0
7,0.8119344624379534,0,0.0,0,0.0
8,0.8121228562879578,0,0.0,0,0.0
9,0.8129132104630158,0,0.0,0,0.0
10,0.8139616434867907,0,0.0,0,0.0
11,0.8206393872889836,0,0.0,0,0.0
12,0.8480644520210677,0,0.0,0,0.0
13,0.8482162402497235,0,0.0,0,0.0
14,0.852699312897188,0,0.0,0,0.0
15,0.8526637421184395,0,0.0,0,0.0
16,0.8635858698686604,0,0.0,0,0.0
17,0.864176293488095,0,0.0,0,0.0
18,0.8642078216590189,0,0.0,0,0.0
19,0.863033271763748,0,0.0,0,0.0
20,0.8630533038622524,0,0.0,0,0.0
21,0.862957647078312,0,0.0,0,0.0
22,0.8603653304408011,0,0.0,0,0.0
23,0.860364840367212,0,0.0,0,0.0
24,0.865975995219679,0,0.0,0,0.0
25,0.8665179915333021,0,0.0,0,0.0
26,0.8702983782108338,0,0.0,0,0.0
27,0.8706882148181604,0,0.0,0,0.0
28,0.8709992947716317,0,0.0,0,0.0
29,0.8686187975723149,0,0.0,0,0.0
30,0.868715524980239,0,0.0,0,0.0
31,0.8437406656528655,0,0.0,0,0.0
32,0.8437846168054135,0,0.0,0,0.0
33,0.8435144654253808,0,0.0,0,0.0
34,0.8434397051891572,0,0.0,0,0.0
35,0.8660612344209397,0,0.0,0,0.0
36,0.8684199627575774,0,0.0,0,0.0
37,0.8686449026541422,0,0.0,0,0.0
38,0.8686209995139126,0,0.0,0,0.0
39,0.868527959874724,0,0.0,0,0.0
40,0.8614362386189652,0,0.0,0,0.0
41,0.8612053982259178,0,0.0,0,0.0
42,0.8551643592735795,0,0.0,0,0.0
43,0.8536446611976422,0,0.0,0,0.0
44,0.8534919719791378,0,0.0,0,0.0
45,0.8504169533116347,0,0.0,0,0.0
46,0.850459260126116,0,0.0,0,0.0
47,0.8503908674256317,0,0.0,0,0.0
48,0.8517720297256578,0,0.0,0,0.0
